bank_reference,transaction_id,amount,currency,payment_date
BANK-5001,TXN1001,125.500,OMR,2026-08-01
BANK-5002,TXN1002,320.000,OMR,2026-08-02
BANK-5003,TXN1003,99.750,OMR,2026-08-03
BANK-5004,TXN1004,450.000,USD,2026-08-04
BANK-5005,TXN1005,210.000,USD,2026-08-05
BANK-5006,TXN1007,95.000,OMR,2026-08-07
BANK-5007,TXN1007,95.000,OMR,2026-08-07
BANK-5008,TXN9999,310.000,OMR,2026-08-08
,TXN1013,80.000,OMR,2026-08-09
BANK-5010,,60.000,OMR,2026-08-10
BANK-5011,TXN1014,BAD_AMOUNT,OMR,2026-08-11
BANK-5012,TXN1015,100.000,EUR,2026-08-12
