transaction_id,invoice_id,customer,amount,currency,transaction_date,status
TXN1001,INV-1001,Al Noor Pharmacy,125.500,OMR,2026-08-01,PAID
TXN1002,INV-1002,Muscat Medical Store,320.000,OMR,2026-08-02,PAID
TXN1003,INV-1003,Salalah Healthcare,89.750,OMR,2026-08-03,PAID
TXN1004,INV-1004,Nizwa Pharmacy,450.000,OMR,2026-08-04,PAID
TXN1005,INV-1005,Sohar Medical Supplies,210.000,USD,2026-08-05,PAID
TXN1006,INV-1006,Barka Health Centre,175.250,OMR,2026-08-06,PENDING
TXN1007,INV-1007,Seeb Pharmacy,95.000,OMR,2026-08-07,PAID
TXN1007,INV-1008,Al Khoud Pharmacy,140.000,OMR,2026-08-08,PAID
,INV-1009,Sur Medical Store,220.000,OMR,2026-08-09,PAID
TXN1010,INV-1010,Ibri Pharmacy,INVALID,OMR,2026-08-10,PAID
TXN1011,INV-1011,,75.000,OMR,2026-08-11,PAID
TXN1012,INV-1012,Ruwi Medical Centre,130.000,OMR,2026-08-12,CANCELLED_WRONG
