transaction_id,status,source,erp_amount,bank_amount,erp_currency,bank_currency,customer,bank_reference
TXN1001,MATCHED,,125.5,125.5,OMR,OMR,Al Noor Pharmacy,BANK-5001
TXN1002,MATCHED,,320.0,320.0,OMR,OMR,Muscat Medical Store,BANK-5002
TXN1003,AMOUNT_MISMATCH,,89.75,99.75,OMR,OMR,Salalah Healthcare,BANK-5003
TXN1004,CURRENCY_MISMATCH,,450.0,450.0,OMR,USD,Nizwa Pharmacy,BANK-5004
TXN1005,MATCHED,,210.0,210.0,USD,USD,Sohar Medical Supplies,BANK-5005
TXN1006,ERP_ONLY,,175.25,,OMR,,Barka Health Centre,
TXN9999,BANK_ONLY,,,310.0,,OMR,,BANK-5008
TXN1007,DUPLICATE,ERP,95.0,,OMR,,Seeb Pharmacy,
TXN1007,DUPLICATE,ERP,140.0,,OMR,,Al Khoud Pharmacy,
TXN1007,DUPLICATE,BANK,,95.0,,OMR,,BANK-5006
TXN1007,DUPLICATE,BANK,,95.0,,OMR,,BANK-5007
